qubit,T1,T2,readout_error,prob_meas0_prep1,prob_meas1_prep0,readout_length
0,48.39984345409426,49.75290853744516,0.0113525390625,0.02099609375,0.001708984375,1700
1,176.75377204789615,210.4331797336015,0.01513671875,0.02001953125,0.01025390625,1700
2,136.97463500802377,124.64531394396563,0.00732421875,0.01025390625,0.00439453125,1700
3,278.4641237319767,291.5937066530537,0.02099609375,0.02099609375,0.02099609375,1700
4,154.08675735787412,121.26626906587568,0.00390625,0.007080078125,0.000732421875,1700
5,195.6121546426623,195.06362538179968,0.0069580078125,0.009765625,0.004150390625,1700
6,151.98154360354872,136.01554822642484,0.0032958984375,0.005615234375,0.0009765625,1700
7,123.92130139392478,41.52141625490792,0.017333984375,0.024169921875,0.010498046875,1700
8,160.83558600581517,37.09483056655164,0.0057373046875,0.009033203125,0.00244140625,1700
9,253.55022462708035,23.462139678043584,0.0093994140625,0.009521484375,0.00927734375,1700
10,193.81663996538475,132.64791213091095,0.0059814453125,0.0107421875,0.00390625,1700
11,97.70900600906442,75.27185820667981,0.0142822265625,0.016845703125,0.01171875,1700
12,80.40549860145926,78.58535993951907,0.01416015625,0.018310546875,0.010009765625,1700
13,296.9054275918636,208.03928282401006,0.0123291015625,0.01318359375,0.011474609375,1700
14,89.40899329044694,47.95225973696821,0.0025634765625,0.00439453125,0.000732421875,1700
15,284.64144847513523,202.90778772003762,0.02099609375,0.019287109375,0.022705078125,1700
16,180.04470625436687,145.24393550183254,0.00927734375,0.01513671875,0.00341796875,1700
17,200.93323551412118,92.46634908062238,0.4835205078125,0.918701171875,0.04833984375,1700
18,161.556441076207,67.148365735936,0.0086669921875,0.012939453125,0.00439453125,1700
19,155.39210150925774,160.976758269449,0.008544921875,0.011474609375,0.005615234375,1700
20,110.84813036313237,106.41352890464336,0.0078125,0.009521484375,0.006103515625,1700
21,234.38353353211326,182.26338728668537,0.0052490234375,0.01025390625,0.000244140625,1700
22,165.69648743528484,107.64676428607589,0.0084228515625,0.01025390625,0.006591796875,1700
23,221.63256434275493,207.10969679811336,0.00341796875,0.005615234375,0.001220703125,1700
24,129.94899740465692,172.0200756909571,0.0059814453125,0.00830078125,0.003662109375,1700
25,180.9921077522778,136.82669717561552,0.0042724609375,0.0068359375,0.001708984375,1700
26,75.61060955628015,78.16995015305953,0.004638671875,0.007568359375,0.001708984375,1700
27,81.82279778289129,76.65150414617113,0.009765625,0.01318359375,0.003173828125,1700
28,108.1569024716397,160.1340305836876,0.0076904296875,0.010009765625,0.00537109375,1700
29,122.40849181738821,49.49820434152456,0.0106201171875,0.015869140625,0.00537109375,1700
30,125.89564583917993,126.7920538533453,0.0059814453125,0.010009765625,0.001953125,1700
31,58.648364587079044,45.63938163968453,0.01123046875,0.016845703125,0.005615234375,1700
32,113.83386909288234,125.9883492167439,0.0201416015625,0.028076171875,0.01220703125,1700
33,93.64246553134022,141.97335485483396,0.0172119140625,0.01708984375,0.017333984375,1700
34,127.76783747117301,81.30944572384628,0.005126953125,0.009033203125,0.001220703125,1700
35,94.4534701695254,38.14798739049397,0.0224609375,0.021240234375,0.023681640625,1700
36,173.594400153013,174.72470946534696,0.005126953125,0.008056640625,0.002197265625,1700
37,150.82103903682466,131.5795066581419,0.0084228515625,0.01025390625,0.006591796875,1700
38,100.69441615103466,171.2697283331544,0.0057373046875,0.01025390625,0.001220703125,1700
39,175.56334285498826,228.2865836550836,0.015380859375,0.01416015625,0.0166015625,1700
40,185.4097663937296,181.495110205341,0.01171875,0.015625,0.0078125,1700
41,136.05328491212722,109.39796670424273,0.094970703125,0.126953125,0.06298828125,1700
42,84.94455350958708,39.43320669791342,0.003662109375,0.005859375,0.00146484375,1700
43,164.7749598573383,92.99453022396536,0.08544921875,0.097412109375,0.073486328125,1700
44,140.5321786760155,165.84942536356286,0.0057373046875,0.0078125,0.00341796875,1700
45,112.90657502655242,100.20206967654171,0.0350341796875,0.029052734375,0.041015625,1700
46,152.96064654361388,15.675191937909633,0.005126953125,0.00732421875,0.0029296875,1700
47,113.02109857416512,47.6829810654358,0.01953125,0.017333984375,0.021728515625,1700
48,151.0756878567784,53.98955218890056,0.006591796875,0.00830078125,0.0048828125,1700
49,36.91839962027501,23.498162235915878,0.017333984375,0.017822265625,0.016845703125,1700
50,107.30812463039778,92.89504774479317,0.0030517578125,0.00439453125,0.001708984375,1700
51,80.97043176209696,81.60477553033046,0.0255126953125,0.036376953125,0.0146484375,1700
52,149.37484044584642,121.54387782387373,0.00830078125,0.012451171875,0.004150390625,1700
53,127.73580925302792,18.452292042739916,0.0274658203125,0.02783203125,0.027099609375,1700
54,126.85627229911879,165.68963782838733,0.0035400390625,0.005615234375,0.00146484375,1700
55,135.6969847096841,155.6916540699396,0.0272216796875,0.036376953125,0.01806640625,1700
56,121.84852487490417,113.36648236276012,0.00537109375,0.0087890625,0.001953125,1700
57,72.00056726617771,46.38541229376871,0.008056640625,0.01318359375,0.0029296875,1700
58,184.48524389217883,153.1048562199802,0.0059814453125,0.00927734375,0.002685546875,1700
59,134.38854606794197,133.54642325418513,0.006103515625,0.009033203125,0.003173828125,1700
60,126.46577750979549,34.34323541862171,0.0303955078125,0.03515625,0.025634765625,1700
61,183.84705584561888,94.18292835666112,0.03125,0.02734375,0.02734375,1700
62,94.25038791913208,44.165763282198256,0.017333984375,0.01806640625,0.0166015625,1700
63,153.1508211088069,18.34829970652562,0.022705078125,0.03662109375,0.0087890625,1700
64,85.36625380494445,71.53599111129962,0.005615234375,0.00830078125,0.0029296875,1700
65,129.37912600181133,71.11310309646876,0.0673828125,0.06494140625,0.06982421875,1700
66,128.935704949164,19.049090098215533,0.00634765625,0.0087890625,0.00390625,1700
67,132.1320720153595,66.03457074965118,0.0380859375,0.0390625,0.037109375,1700
68,114.25457273019,102.26845660007211,0.0084228515625,0.011962890625,0.0048828125,1700
69,142.16018359685688,80.83177513119863,0.0081787109375,0.013427734375,0.0029296875,1700
70,107.8016830750928,80.98899918797292,0.0048828125,0.009521484375,0.000244140625,1700
71,209.66221912177366,135.51269440417624,0.0040283203125,0.00732421875,0.000732421875,1700
72,7.920347693568364,,0.342529296875,0.375732421875,0.309326171875,1700
73,188.27700435548215,97.90638626388353,0.0072021484375,0.0087890625,0.005615234375,1700
74,90.13732458139005,118.69890242643505,0.0330810546875,0.060302734375,0.005859375,1700
75,118.1508373574929,118.53076472173458,0.00341796875,0.00537109375,0.00146484375,1700
76,106.41842705218737,85.23974888807314,0.025390625,0.02587890625,0.02490234375,1700
77,112.11876184478692,49.42654464037527,0.0115966796875,0.017578125,0.005615234375,1700
78,60.842103950258014,62.169036972468554,0.013427734375,0.009765625,0.01171875,1700
79,119.34886235834263,57.39421735424889,0.0120849609375,0.02099609375,0.003173828125,1700
80,155.82355326988903,120.49726248372386,0.0062255859375,0.010498046875,0.001953125,1700
81,149.64550368309776,22.92055434229641,0.0233154296875,0.025634765625,0.02099609375,1700
82,108.36597220515395,19.950563891888788,0.005615234375,0.0078125,0.00341796875,1700
83,158.52541713150694,183.81735784476226,0.1156005859375,0.112060546875,0.119140625,1700
84,72.9415340258347,86.20109398656422,0.0042724609375,0.0068359375,0.001708984375,1700
85,173.1133052964183,36.52950465336168,0.00634765625,0.011474609375,0.001220703125,1700
86,80.71011585246505,71.94848933746107,0.0052490234375,0.010009765625,0.00048828125,1700
87,122.84648099930061,170.50600339144017,0.0322265625,0.03564453125,0.02880859375,1700
88,87.54069877065173,108.23569319497444,0.0042724609375,0.0068359375,0.001708984375,1700
89,216.23035882744765,97.14363360208804,0.0091552734375,0.011962890625,0.00634765625,1700
90,123.56478403847021,127.27022987172145,0.009765625,0.01611328125,0.00341796875,1700
91,93.63223682700462,27.345045362789993,0.0167236328125,0.020263671875,0.01318359375,1700
92,126.71929213166032,183.3091285772217,0.0052490234375,0.0078125,0.002685546875,1700
93,151.91984039183404,157.96194754345254,0.094482421875,0.07373046875,0.115234375,1700
94,134.58262518404422,55.73767547666663,0.008544921875,0.011962890625,0.005126953125,1700
95,160.32346893382234,158.35298819235678,0.0076904296875,0.009765625,0.003173828125,1700
96,130.3992590425011,137.67095104911147,0.016357421875,0.024658203125,0.008056640625,1700
97,80.67377031407584,106.69188277622983,0.00537109375,0.010009765625,0.000732421875,1700
98,170.94842047021993,23.577037938108475,0.00830078125,0.011962890625,0.004638671875,1700
99,157.34120413502174,38.62662235629006,0.022705078125,0.02978515625,0.015625,1700
100,168.5697048044796,34.22308340348283,0.0177001953125,0.022216796875,0.01318359375,1700
101,169.62114483137205,161.175746352627,0.0535888671875,0.0478515625,0.059326171875,1700
102,163.5904361545133,142.6194955928216,0.0146484375,0.02587890625,0.00341796875,1700
103,129.70696114661718,147.89232873690818,0.008056640625,0.01318359375,0.0029296875,1700
104,108.24949071210109,110.50314469296053,0.007080078125,0.00830078125,0.005859375,1700
105,156.82716525524532,146.7211269459217,0.0098876953125,0.014404296875,0.00537109375,1700
106,94.13535024170308,140.77652521871966,0.0064697265625,0.008544921875,0.00439453125,1700
107,78.21027794366725,24.20206487018288,0.0057373046875,0.009765625,0.001708984375,1700
108,110.95415803826917,135.06023083787935,0.005615234375,0.009033203125,0.002197265625,1700
109,184.52396755350156,72.79450553745609,0.0098876953125,0.01513671875,0.004638671875,1700
110,60.104032616898415,84.72709875743288,0.004150390625,0.0078125,0.00048828125,1700
111,234.43493101073977,118.52171798554389,0.010498046875,0.009521484375,0.011474609375,1700
112,135.78539619649177,132.06982205639426,0.0123291015625,0.00830078125,0.015869140625,1700
113,128.88027364185237,25.091285439453443,0.129638671875,0.09716796875,0.162109375,1700
114,124.66997084066483,85.10368136654466,0.005859375,0.009521484375,0.002197265625,1700
115,121.88120101136253,150.2031633763236,0.006103515625,0.010986328125,0.001220703125,1700
116,160.11205105764776,175.7275625434723,0.0162353515625,0.021728515625,0.0107421875,1700
117,110.57340494268172,169.04748689001238,0.0140380859375,0.018310546875,0.009765625,1700
118,125.15089383135607,24.7195309344333,0.0052490234375,0.00830078125,0.002197265625,1700
119,78.37122412275508,111.89778921410192,0.012451171875,0.0146484375,0.01025390625,1700
120,132.41168485905504,171.25983540684473,0.008056640625,0.01171875,0.00439453125,1700
121,169.6473737757819,154.25997577465273,0.0093994140625,0.0146484375,0.004150390625,1700
122,137.95364860401637,61.040517460808495,0.0064697265625,0.01123046875,0.001708984375,1700
123,100.36786388004431,113.4427000885391,0.00732421875,0.0087890625,0.005859375,1700
124,125.3384232102079,148.6656696602831,0.0067138671875,0.01025390625,0.003173828125,1700
125,203.30965131770606,65.23176066419153,0.0091552734375,0.0126953125,0.005615234375,1700
126,127.91873523456093,95.78044334200072,0.0718994140625,0.113037109375,0.03076171875,1700
127,167.0617439701246,148.61971631213626,0.008544921875,0.011962890625,0.005126953125,1700
128,101.77168433683883,51.21491077681316,0.0262451171875,0.0302734375,0.022216796875,1700
129,133.3058675086533,93.18657336283547,0.0244140625,0.013671875,0.028564453125,1700
130,132.7913855127488,133.5167305764191,0.0037841796875,0.0068359375,0.000732421875,1700
131,166.21889155439416,175.58622915123777,0.126708984375,0.10888671875,0.14453125,1700
132,137.77936419914928,181.75745320729087,0.0357666015625,0.0703125,0.001220703125,1700
133,201.67350884537544,58.12105170713096,0.16796875,0.127197265625,0.208740234375,1700
134,174.58689442530851,36.89513096091248,0.005859375,0.0087890625,0.0029296875,1700
135,160.09983416070995,202.96374874822965,0.0474853515625,0.052001953125,0.04296875,1700
136,127.55232855073449,111.63944287372901,0.0042724609375,0.00634765625,0.002197265625,1700
137,84.4314098184851,130.30466572472966,0.0068359375,0.0107421875,0.0029296875,1700
138,106.88779379293763,120.66879767643948,0.007568359375,0.00927734375,0.005859375,1700
139,133.52967798012895,33.186543540350605,0.01220703125,0.021240234375,0.003173828125,1700
140,111.12483628608143,201.58357645897436,0.0123291015625,0.016357421875,0.00830078125,1700
141,137.61163606269008,112.54158382829942,0.004150390625,0.006591796875,0.001708984375,1700
142,199.64679813139304,236.41579589919215,0.0069580078125,0.011962890625,0.001953125,1700
143,138.92893435939914,144.2648397417002,0.0057373046875,0.008544921875,0.0029296875,1700
144,175.05440837803897,219.98724955166608,0.00390625,0.0068359375,0.0009765625,1700
145,186.22673293254786,120.28647157535178,0.01025390625,0.01220703125,0.00830078125,1700
146,140.4058465836833,36.18476920573668,0.00439453125,0.01025390625,0.001708984375,1700
147,119.67507111724095,101.32063360227373,0.005126953125,0.008056640625,0.002197265625,1700
148,93.21895473347745,120.25206423443511,0.0059814453125,0.01171875,0.000244140625,1700
149,71.86261915559295,5.071542954473772,0.044189453125,0.046142578125,0.042236328125,1700
150,31.36699381438514,5.057094651236509,0.0050048828125,0.00927734375,0.000732421875,1700
151,85.32420008598423,113.05660090365258,0.01025390625,0.015869140625,0.004638671875,1700
152,98.0524883840061,143.8146827069566,0.009521484375,0.014892578125,0.004150390625,1700
153,132.29545583429964,42.035452663930094,0.009765625,0.0166015625,0.0029296875,1700
154,133.7945242854294,127.82380230846815,0.0067138671875,0.008544921875,0.0048828125,1700
155,175.5622949531227,22.04781520059083,0.00927734375,0.01318359375,0.00537109375,1700
