qubit,T1,T2,readout_error,prob_meas0_prep1,prob_meas1_prep0,readout_length
0,191.2101680754255,39.55280044359366,0.0048828125,0.0068359375,0.0029296875,2180
1,169.24951667178541,141.35054376064923,0.002685546875,0.00439453125,0.0009765625,2180
2,255.70660271856323,334.62944314978216,0.006103515625,0.00537109375,0.0068359375,2180
3,249.653964249925,229.92444327822335,0.006103515625,0.00537109375,0.0068359375,2180
4,166.35986059851848,142.6810402502137,0.005859375,0.01025390625,0.00146484375,2180
5,126.7424248107438,104.54413281411743,0.016357421875,0.025390625,0.00732421875,2180
6,201.27814409450346,105.53082992136646,0.00537109375,0.00927734375,0.00146484375,2180
7,260.5125113904566,148.57760439975166,0.0068359375,0.009765625,0.00390625,2180
8,154.96644427619827,71.97104748014026,0.00537109375,0.00732421875,0.00341796875,2180
9,180.08510770552195,206.52519336759894,0.01416015625,0.0185546875,0.009765625,2180
10,142.24809450101154,74.56564664028863,0.006103515625,0.00732421875,0.0048828125,2180
11,166.91050812784445,140.3101112521448,0.008056640625,0.0146484375,0.00146484375,2180
12,259.2853575304082,133.02356960267323,0.0048828125,0.00634765625,0.00341796875,2180
13,216.97668441745407,233.72339303464645,0.02001953125,0.0166015625,0.0234375,2180
14,340.02546381863,104.76940990251939,0.004638671875,0.0087890625,0.00048828125,2180
15,328.88953118864055,41.749775841639305,0.00341796875,0.00537109375,0.00146484375,2180
16,125.16760901657969,96.58674012993008,0.01171875,0.0224609375,0.0009765625,2180
17,266.6495915332737,11.783516656044657,0.005859375,0.00537109375,0.00634765625,2180
18,80.7505747318083,89.09208427955309,0.025146484375,0.0234375,0.02685546875,2180
19,149.22966268316887,71.27153968184541,0.006103515625,0.00927734375,0.0029296875,2180
20,127.38677717626324,133.38567720998094,0.007568359375,0.01513671875,0.0,2180
21,248.75513313619615,98.8922649732822,0.010986328125,0.013671875,0.00830078125,2180
22,149.70519651042747,30.40142343021031,0.0068359375,0.0078125,0.005859375,2180
23,125.34940414800401,124.91435837185276,0.0537109375,0.048828125,0.05859375,2180
24,110.42680748843522,75.7503991061646,0.01953125,0.03125,0.0078125,2180
25,104.3673249882413,31.61082893147584,0.131591796875,0.09619140625,0.1669921875,2180
26,6.651749284626835,7.584987966692859,0.053955078125,0.10400390625,0.00390625,2180
27,106.55197624335618,106.66486126316121,0.0068359375,0.01318359375,0.00048828125,2180
28,97.40206698981432,104.17082291589203,0.023681640625,0.03173828125,0.015625,2180
29,24.417467819925037,49.34844410533102,0.039306640625,0.03857421875,0.0400390625,2180
30,207.02912970678497,24.192633270833216,0.014404296875,0.0205078125,0.00830078125,2180
31,120.16491207150145,60.744190597962984,0.018798828125,0.025390625,0.01220703125,2180
32,139.5229255680226,30.30290848593894,0.028076171875,0.037109375,0.01904296875,2180
33,139.3333547420059,120.32610769438915,0.021240234375,0.01708984375,0.025390625,2180
34,168.35254320312293,69.74091485075867,0.002685546875,0.00537109375,0.0,2180
35,274.0789239929221,342.6208724014734,0.012451171875,0.0234375,0.00146484375,2180
36,116.61274120499674,17.29826389450748,0.0458984375,0.046875,0.044921875,2180
37,137.27931221184184,8.566907530838174,0.041748046875,0.0380859375,0.04541015625,2180
38,83.00358264985339,50.27733238360253,0.009765625,0.01708984375,0.00244140625,2180
39,144.06021922264878,93.88265233394536,0.026611328125,0.048828125,0.00439453125,2180
40,109.80723576718782,57.039205373033084,0.03076171875,0.03662109375,0.02490234375,2180
41,194.57585366016787,36.53826109430343,0.062744140625,0.04833984375,0.0771484375,2180
42,150.70992371068917,96.97695396827366,0.0146484375,0.01416015625,0.01513671875,2180
43,150.02374556371237,61.770739115485554,0.005859375,0.0107421875,0.0009765625,2180
44,165.9454883264169,137.34075166211866,0.004150390625,0.00830078125,0.0,2180
45,84.21728628394325,94.22323316079982,0.016357421875,0.02099609375,0.01171875,2180
46,186.52743880373123,22.84495972835141,0.00830078125,0.0126953125,0.00390625,2180
47,200.683469542666,135.30105121392452,0.006103515625,0.01171875,0.00048828125,2180
48,225.93488950347927,153.9298406593906,0.034912109375,0.037109375,0.03271484375,2180
49,141.40860920899948,112.49720719010955,0.0107421875,0.01220703125,0.00927734375,2180
50,195.21546424605467,168.316053535614,0.015625,0.0205078125,0.0107421875,2180
51,138.27523940652853,214.7198691554482,0.0419921875,0.0478515625,0.0361328125,2180
52,121.77268020256216,122.59573253732995,0.009765625,0.01513671875,0.00439453125,2180
53,306.3635356235475,162.68325602849114,0.00830078125,0.009765625,0.0068359375,2180
54,217.57006483645088,281.0642057177199,0.011474609375,0.01025390625,0.0126953125,2180
55,211.10413045092378,73.38630212047231,0.00732421875,0.0107421875,0.00390625,2180
56,78.81929192826703,41.34318279997849,0.012451171875,0.01806640625,0.0068359375,2180
57,193.02906266354245,76.13744742452934,0.02587890625,0.02197265625,0.02978515625,2180
58,172.1917709815329,137.68307604165526,0.03515625,0.04052734375,0.02978515625,2180
59,164.00979390371742,186.29597172733608,0.014404296875,0.0166015625,0.01220703125,2180
60,114.23532097710611,69.07068193438278,0.00634765625,0.0126953125,0.0,2180
61,253.3560409694295,209.66406859042212,0.017578125,0.02685546875,0.00830078125,2180
62,75.8606909366626,36.452061224170045,0.00634765625,0.0126953125,0.0,2180
